Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,20,65243,6023949,Madera,Madera Unified,Dixieland Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,8,265,196,74.00%,241,90.90%,259,191,73.70%,236,91.10%,Y
2016-2017,20,65243,6023964,Madera,Madera Unified,George Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,780,752,96.40%,769,98.60%,767,741,96.60%,756,98.60%,Y
2016-2017,20,65243,6023972,Madera,Madera Unified,Howard Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,8,555,292,52.60%,410,73.90%,545,289,53.00%,406,74.50%,Y
2016-2017,20,65243,6023980,Madera,Madera Unified,James Madison Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,626,580,92.70%,608,97.10%,619,573,92.60%,601,97.10%,Y
2016-2017,20,65243,6023998,Madera,Madera Unified,James Monroe Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,726,684,94.20%,718,98.90%,710,668,94.10%,702,98.90%,Y
2016-2017,20,65243,6024004,Madera,Madera Unified,John Adams Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,820,474,57.80%,608,74.10%,807,466,57.70%,597,74.00%,Y
2016-2017,20,65243,6024012,Madera,Madera Unified,La Vina Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,8,270,233,86.30%,260,96.30%,269,232,86.20%,259,96.30%,Y
2016-2017,20,65243,6024020,Madera,Madera Unified,Millview Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,858,778,90.70%,833,97.10%,847,767,90.60%,822,97.00%,Y
2016-2017,20,65243,6024046,Madera,Madera Unified,Sierra Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,839,778,92.70%,822,98.00%,817,760,93.00%,800,97.90%,Y
2016-2017,20,65243,6024053,Madera,Madera Unified,Thomas Jefferson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,,,N,7,8,904,637,70.50%,743,82.20%,904,637,70.50%,743,82.20%,Y
2016-2017,20,65243,6105951,Madera,Madera Unified,Berenda Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,831,474,57.00%,643,77.40%,811,464,57.20%,626,77.20%,Y
2016-2017,20,65243,6107122,Madera,Madera Unified,Alpha Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,767,595,77.60%,684,89.20%,754,587,77.90%,675,89.50%,Y
2016-2017,20,65243,6112312,Madera,Madera Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,,,N,K,6,863,449,52.00%,588,68.10%,841,436,51.80%,571,67.90%,Y
2016-2017,20,65243,6112973,Madera,Madera Unified,Martin Luther King Jr. Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,,,N,7,8,915,783,85.60%,870,95.10%,915,783,85.60%,870,95.10%,Y
2016-2017,20,65276,6024095,Madera,Raymond-Knowles Union Elementary,Raymond-Knowles Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,83,35,42.20%,52,62.70%,82,35,42.70%,51,62.20%,Y
2016-2017,20,75580,110395,Madera,Golden Valley Unified,Lincoln Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,7,12,4,3,75.00%,3,75.00%,4,3,75.00%,3,75.00%,Y
2016-2017,20,75580,110403,Madera,Golden Valley Unified,Valley Teen Ranch Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,7,12,20,20,100.00%,20,100.00%,16,16,100.00%,16,100.00%,Y
2016-2017,20,75580,111443,Madera,Golden Valley Unified,Centennial Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,1,12,8,1,12.50%,1,12.50%,7,1,14.30%,1,14.30%,Y
2016-2017,20,75580,123315,Madera,Golden Valley Unified,Valley Children's Hospital,Unified School District,K-12 Schools (Public),Home and Hospital,,No ,,,N,K,12,8,4,50.00%,4,50.00%,8,4,50.00%,4,50.00%,Y
2016-2017,20,75580,134486,Madera,Golden Valley Unified,Freedom Home,Unified School District,K-12 Schools (Public),Alternative School of Choice,,No ,,,N,K,8,12,6,50.00%,6,50.00%,12,6,50.00%,6,50.00%,Y
2016-2017,20,75580,2030161,Madera,Golden Valley Unified,Independence Continuation High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,10,9,90.00%,10,100.00%,9,8,88.90%,9,100.00%,Y
2016-2017,20,75580,2030203,Madera,Golden Valley Unified,Liberty High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,600,142,23.70%,176,29.30%,577,135,23.40%,169,29.30%,Y
2016-2017,20,75580,2030211,Madera,Golden Valley Unified,Ranchos Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,7,8,275,68,24.70%,89,32.40%,275,68,24.70%,89,32.40%,Y
2016-2017,20,75580,6100820,Madera,Golden Valley Unified,Webster Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,530,170,32.10%,217,40.90%,530,170,32.10%,217,40.90%,Y
2016-2017,20,75580,6103824,Madera,Golden Valley Unified,Sierra View Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,408,106,26.00%,124,30.40%,394,102,25.90%,120,30.50%,Y
2016-2017,20,75606,100180,Madera,Chawanakee Unified,Mountain Oaks High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,13,13,100.00%,13,100.00%,12,12,100.00%,12,100.00%,Y
2016-2017,20,75606,117010,Madera,Chawanakee Unified,Minarets High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,204,77,37.70%,89,43.60%,199,76,38.20%,86,43.20%,Y
2016-2017,20,75606,125021,Madera,Chawanakee Unified,Minarets Charter High,Unified School District,High Schools (Public),Traditional,,Yes,1341,Locally funded,N,9,12,260,64,24.60%,76,29.20%,255,61,23.90%,73,28.60%,Y
2016-2017,20,75606,132936,Madera,Chawanakee Unified,Chawanakee Academy Charter,Unified School District,K-12 Schools (Public),Traditional,,Yes,1763,Locally funded,N,K,12,131,41,31.30%,60,45.80%,124,36,29.00%,54,43.50%,Y
2016-2017,20,75606,6024079,Madera,Chawanakee Unified,North Fork Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,258,180,69.80%,202,78.30%,254,177,69.70%,198,78.00%,Y
2016-2017,20,75606,6024103,Madera,Chawanakee Unified,Spring Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,184,65,35.30%,81,44.00%,181,63,34.80%,79,43.60%,Y
2016-2017,20,75606,6113948,Madera,Chawanakee Unified,Manzanita Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,7,12,4,4,100.00%,4,100.00%,3,3,100.00%,3,100.00%,Y
2016-2017,20,76414,115527,Madera,Yosemite Unified,Campbell High Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,9,12,5,4,80.00%,4,80.00%,5,4,80.00%,4,80.00%,Y
2016-2017,20,76414,115550,Madera,Yosemite Unified,Yosemite Falls Education Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,24,5,20.80%,5,20.80%,24,5,20.80%,5,20.80%,Y
2016-2017,20,76414,2030013,Madera,Yosemite Unified,Yosemite High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,690,210,30.40%,280,40.60%,670,204,30.40%,272,40.60%,Y
2016-2017,20,76414,2030039,Madera,Yosemite Unified,Ahwahnee High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,21,12,57.10%,15,71.40%,19,11,57.90%,14,73.70%,Y
2016-2017,20,76414,2030070,Madera,Yosemite Unified,Raymond Granite High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,2,1,50.00%,1,50.00%,2,1,50.00%,1,50.00%,Y
2016-2017,20,76414,2030104,Madera,Yosemite Unified,Evergreen High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,42,22,52.40%,26,61.90%,40,20,50.00%,24,60.00%,Y
2016-2017,20,76414,2030237,Madera,Yosemite Unified,Glacier High School Charter,Unified School District,High Schools (Public),Traditional,,Yes,479,Directly funded,Y,9,12,112,24,21.40%,39,34.80%,110,24,21.80%,39,35.50%,Y
2016-2017,20,76414,6023915,Madera,Yosemite Unified,Coarsegold Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,439,192,43.70%,248,56.50%,436,191,43.80%,246,56.40%,Y
2016-2017,20,76414,6110019,Madera,Yosemite Unified,Rivergold Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,499,169,33.90%,232,46.50%,493,166,33.70%,228,46.20%,Y
2016-2017,20,76414,6110076,Madera,Yosemite Unified,Mountain Home Charter (Alternative),Unified School District,Elementary Schools (Public),Traditional,,Yes,63,Directly funded,Y,K,8,350,90,25.70%,134,38.30%,350,90,25.70%,134,38.30%,Y
2016-2017,20,76414,6113914,Madera,Yosemite Unified,Meadowbrook Community Day,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,5,8,4,2,50.00%,3,75.00%,4,2,50.00%,3,75.00%,Y
2016-2017,21,10215,113183,Marin,Marin County Office of Education,Marin County Juvenile Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,No ,,,N,7,12,16,16,100.00%,16,100.00%,16,16,100.00%,16,100.00%,Y
2016-2017,21,10215,2130037,Marin,Marin County Office of Education,Marin's Community,County Office of Education (COE),County Community,County Community School,,No ,,,N,6,12,47,18,38.30%,18,38.30%,37,15,40.50%,15,40.50%,Y
2016-2017,21,10215,2130102,Marin,Marin County Office of Education,Phoenix Academy,County Office of Education (COE),High Schools (Public),County Community School,,Yes,87,Locally funded,N,9,12,15,12,80.00%,12,80.00%,15,12,80.00%,12,80.00%,Y
2016-2017,21,10215,6069504,Marin,Marin County Office of Education,Marin County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,,No ,,,N,K,12,179,9,5.00%,9,5.00%,135,9,6.70%,9,6.70%,Y
2016-2017,21,65300,6024137,Marin,Bolinas-Stinson Union,Bolinas-Stinson Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,85,7,8.20%,42,49.40%,85,7,8.20%,42,49.40%,Y
2016-2017,21,65318,1,Marin,Dixie Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,6,1,16.70%,1,16.70%,6,1,16.70%,1,16.70%,Y
2016-2017,21,65318,6024160,Marin,Dixie Elementary,Dixie Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,387,16,4.10%,16,4.10%,375,15,4.00%,15,4.00%,Y
2016-2017,21,65318,6024194,Marin,Dixie Elementary,Mary E. Silveira Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,422,51,12.10%,67,15.90%,422,51,12.10%,67,15.90%,Y
2016-2017,21,65318,6024202,Marin,Dixie Elementary,Miller Creek Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,674,64,9.50%,73,10.80%,674,64,9.50%,73,10.80%,Y
2016-2017,21,65318,6024244,Marin,Dixie Elementary,Vallecito Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,493,55,11.20%,60,12.20%,485,55,11.30%,60,12.40%,Y
2016-2017,21,65334,1,Marin,Kentfield Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2016-2017,21,65334,6024319,Marin,Kentfield Elementary,Anthony G. Bacich Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,4,656,32,4.90%,41,6.30%,625,30,4.80%,38,6.10%,Y
2016-2017,21,65334,6068308,Marin,Kentfield Elementary,Adaline E. Kent Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,5,8,600,24,4.00%,33,5.50%,600,24,4.00%,33,5.50%,Y
2016-2017,21,65342,1,Marin,Laguna Joint Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2016-2017,21,65342,6024327,Marin,Laguna Joint Elementary,Laguna Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,6,16,13,81.30%,13,81.30%,15,13,86.70%,13,86.70%,Y
2016-2017,21,65359,1,Marin,Lagunitas Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2016-2017,21,65359,6024335,Marin,Lagunitas Elementary,Lagunitas Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,174,29,16.70%,33,19.00%,174,29,16.70%,33,19.00%,Y
2016-2017,21,65359,6024343,Marin,Lagunitas Elementary,San Geronimo Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,87,14,16.10%,14,16.10%,86,14,16.30%,14,16.30%,Y
2016-2017,21,65367,1,Marin,Larkspur-Corte Madera,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,5,0,0.00%,0,0.00%,5,0,0.00%,0,0.00%,Y
2016-2017,21,65367,129148,Marin,Larkspur-Corte Madera,Cove,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,429,38,8.90%,44,10.30%,429,38,8.90%,44,10.30%,Y
2016-2017,21,65367,6024350,Marin,Larkspur-Corte Madera,Hall Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,511,41,8.00%,58,11.40%,511,41,8.00%,58,11.40%,Y
2016-2017,21,65367,6024376,Marin,Larkspur-Corte Madera,Neil Cummins Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,578,33,5.70%,37,6.40%,578,33,5.70%,37,6.40%,Y
2016-2017,21,65375,0,Marin,Lincoln Elementary,District Office,Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,K,6,3,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2016-2017,21,65375,6024392,Marin,Lincoln Elementary,Lincoln Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,6,9,1,11.10%,1,11.10%,9,1,11.10%,1,11.10%,Y
2016-2017,21,65391,1,Marin,Mill Valley Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,2,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,Y
2016-2017,21,65391,6024418,Marin,Mill Valley Elementary,Edna Maguire Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,573,15,2.60%,23,4.00%,566,15,2.70%,23,4.10%,Y
2016-2017,21,65391,6024442,Marin,Mill Valley Elementary,Old Mill Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,320,6,1.90%,6,1.90%,320,6,1.90%,6,1.90%,Y
2016-2017,21,65391,6024459,Marin,Mill Valley Elementary,Park Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,P,5,332,0,0.00%,1,0.30%,332,0,0.00%,1,0.30%,Y
2016-2017,21,65391,6024467,Marin,Mill Valley Elementary,Strawberry Point Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,379,24,6.30%,33,8.70%,366,24,6.60%,33,9.00%,Y
2016-2017,21,65391,6024475,Marin,Mill Valley Elementary,Tamalpais Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,480,11,2.30%,14,2.90%,480,11,2.30%,14,2.90%,Y
2016-2017,21,65391,6085187,Marin,Mill Valley Elementary,Mill Valley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1042,38,3.60%,47,4.50%,1042,38,3.60%,47,4.50%,Y
2016-2017,21,65409,6024483,Marin,Nicasio,Nicasio,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,43,3,7.00%,3,7.00%,43,3,7.00%,3,7.00%,Y
2016-2017,21,65417,1,Marin,Novato Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,36,5,13.90%,6,16.70%,31,5,16.10%,6,19.40%,Y
2016-2017,21,65417,124081,Marin,Novato Unified,San Jose Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,765,228,29.80%,279,36.50%,765,228,29.80%,279,36.50%,Y
2016-2017,21,65417,125344,Marin,Novato Unified,Nexus Academy,Unified School District,District Community Day Schools,Community Day School,,No ,,,N,7,10,5,3,60.00%,3,60.00%,5,3,60.00%,3,60.00%,Y
2016-2017,21,65417,2130045,Marin,Novato Unified,Nova Education Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,K,12,56,4,7.10%,5,8.90%,55,4,7.30%,5,9.10%,Y
2016-2017,21,65417,2132264,Marin,Novato Unified,Marin Oaks High,Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,70,33,47.10%,44,62.90%,55,25,45.50%,34,61.80%,Y
2016-2017,21,65417,2132272,Marin,Novato Unified,Novato High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1378,352,25.50%,434,31.50%,1338,335,25.00%,415,31.00%,Y
2016-2017,21,65417,2133056,Marin,Novato Unified,San Marin High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1051,130,12.40%,183,17.40%,1014,124,12.20%,175,17.30%,Y
2016-2017,21,65417,6024491,Marin,Novato Unified,Hamilton Meadow Park,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,626,349,55.80%,417,66.60%,623,347,55.70%,415,66.60%,Y
2016-2017,21,65417,6024509,Marin,Novato Unified,Loma Verde Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,404,147,36.40%,184,45.50%,396,144,36.40%,181,45.70%,Y
2016-2017,21,65417,6024517,Marin,Novato Unified,Lu Sutton Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,365,168,46.00%,205,56.20%,359,167,46.50%,204,56.80%,Y
2016-2017,21,65417,6024525,Marin,Novato Unified,Lynwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,327,173,52.90%,209,63.90%,320,167,52.20%,202,63.10%,Y
2016-2017,21,65417,6024558,Marin,Novato Unified,Olive Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,323,111,34.40%,136,42.10%,316,111,35.10%,136,43.00%,Y
2016-2017,21,65417,6024574,Marin,Novato Unified,Pleasant Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,499,33,6.60%,49,9.80%,491,33,6.70%,49,10.00%,Y
2016-2017,21,65417,6024582,Marin,Novato Unified,Rancho Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,397,76,19.10%,112,28.20%,392,75,19.10%,111,28.30%,Y
2016-2017,21,65417,6024590,Marin,Novato Unified,San Ramon Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,492,65,13.20%,78,15.90%,476,62,13.00%,75,15.80%,Y
2016-2017,21,65417,6058614,Marin,Novato Unified,Sinaloa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,805,144,17.90%,194,24.10%,805,144,17.90%,194,24.10%,Y
2016-2017,21,65417,6113229,Marin,Novato Unified,Novato Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,89,Directly funded,N,K,8,270,10,3.70%,29,10.70%,266,10,3.80%,29,10.90%,Y
2016-2017,21,65425,1,Marin,Reed Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,4,0,0.00%,0,0.00%,4,0,0.00%,0,0.00%,Y
2016-2017,21,65425,6024616,Marin,Reed Union Elementary,Bel Aire Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,3,5,561,24,4.30%,24,4.30%,561,24,4.30%,24,4.30%,Y
2016-2017,21,65425,6024632,Marin,Reed Union Elementary,Del Mar Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,559,20,3.60%,20,3.60%,559,20,3.60%,20,3.60%,Y
2016-2017,21,65425,6024657,Marin,Reed Union Elementary,Reed Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,2,406,9,2.20%,9,2.20%,406,9,2.20%,9,2.20%,Y
2016-2017,21,65433,1,Marin,Ross Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,Y
2016-2017,21,65433,6024673,Marin,Ross Elementary,Ross Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,8,382,2,0.50%,2,0.50%,382,2,0.50%,2,0.50%,Y
2016-2017,21,65458,121517,Marin,San Rafael City Elementary,Short Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,P,4,215,174,80.90%,195,90.70%,215,174,80.90%,195,90.70%,Y
2016-2017,21,65458,6024756,Marin,San Rafael City Elementary,Bahia Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,553,505,91.30%,542,98.00%,553,505,91.30%,542,98.00%,Y
2016-2017,21,65458,6024764,Marin,San Rafael City Elementary,Coleman Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,406,149,36.70%,189,46.60%,406,149,36.70%,189,46.60%,Y
2016-2017,21,65458,6024772,Marin,San Rafael City Elementary,Venetia Valley K-8,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,712,452,63.50%,561,78.80%,695,442,63.60%,551,79.30%,Y
2016-2017,21,65458,6024780,Marin,San Rafael City Elementary,Glenwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,439,59,13.40%,68,15.50%,439,59,13.40%,68,15.50%,Y
2016-2017,21,65458,6024814,Marin,San Rafael City Elementary,Laurel Dell Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,205,160,78.00%,180,87.80%,192,152,79.20%,170,88.50%,Y
2016-2017,21,65458,6024830,Marin,San Rafael City Elementary,San Pedro Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,526,472,89.70%,500,95.10%,512,463,90.40%,490,95.70%,Y
2016-2017,21,65458,6024863,Marin,San Rafael City Elementary,Sun Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,501,73,14.60%,90,18.00%,501,73,14.60%,90,18.00%,Y
2016-2017,21,65458,6058622,Marin,San Rafael City Elementary,James B. Davidson Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,1201,686,57.10%,786,65.40%,1201,686,57.10%,786,65.40%,Y
2016-2017,21,65466,2133254,Marin,San Rafael City High,Madrone High Continuation,High School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,70,49,70.00%,53,75.70%,62,46,74.20%,50,80.60%,Y
2016-2017,21,65466,2133262,Marin,San Rafael City High,San Rafael High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1294,644,49.80%,755,58.30%,1245,615,49.40%,719,57.80%,Y
2016-2017,21,65466,2134005,Marin,San Rafael City High,Terra Linda High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1155,306,26.50%,376,32.60%,1122,293,26.10%,359,32.00%,Y
2016-2017,21,65474,1,Marin,Sausalito Marin City,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,Y
2016-2017,21,65474,6024889,Marin,Sausalito Marin City,Bayside Martin Luther King Jr. Academy,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,161,105,65.20%,105,65.20%,157,104,66.20%,104,66.20%,Y
2016-2017,21,65474,6118491,Marin,Sausalito Marin City,Willow Creek Academy,Elementary School District,Elementary Schools (Public),Traditional,,Yes,351,Directly funded,Y,K,8,396,125,31.60%,159,40.20%,396,125,31.60%,159,40.20%,Y
2016-2017,21,65482,1,Marin,Tamalpais Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,25,3,12.00%,3,12.00%,17,3,17.60%,3,17.60%,Y
2016-2017,21,65482,2130078,Marin,Tamalpais Union High,Tamiscal High (Alternative),High School District,Alternative Schools of Choice,Alternative School of Choice,,No ,,,N,9,12,108,8,7.40%,8,7.40%,101,8,7.90%,8,7.90%,Y
2016-2017,21,65482,2131340,Marin,Tamalpais Union High,Sir Francis Drake High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1142,71,6.20%,89,7.80%,1101,67,6.10%,85,7.70%,Y
2016-2017,21,65482,2132587,Marin,Tamalpais Union High,Redwood High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1809,71,3.90%,91,5.00%,1754,71,4.00%,91,5.20%,Y
2016-2017,21,65482,2133692,Marin,Tamalpais Union High,Tamalpais High,High School District,High Schools (Public),Traditional,,No ,,,N,9,12,1527,101,6.60%,114,7.50%,1490,95,6.40%,108,7.20%,Y
2016-2017,21,65482,2134419,Marin,Tamalpais Union High,San Andreas High (Continuation),High School District,Continuation High Schools,Continuation School,,No ,,,N,10,12,82,20,24.40%,23,28.00%,65,16,24.60%,18,27.70%,Y
2016-2017,21,65516,6024939,Marin,Union Joint Elementary,Union Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,No ,,,N,K,6,12,5,41.70%,5,41.70%,12,5,41.70%,5,41.70%,Y
2016-2017,21,73361,2134310,Marin,Shoreline Unified,Tomales High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,155,72,46.50%,97,62.60%,149,70,47.00%,94,63.10%,Y
2016-2017,21,73361,6024921,Marin,Shoreline Unified,Tomales Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,163,95,58.30%,111,68.10%,163,95,58.30%,111,68.10%,Y
2016-2017,21,73361,6024947,Marin,Shoreline Unified,Inverness Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,1,37,17,45.90%,23,62.20%,34,16,47.10%,21,61.80%,Y
2016-2017,21,73361,6024954,Marin,Shoreline Unified,West Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,2,8,135,53,39.30%,70,51.90%,135,53,39.30%,70,51.90%,Y
